User,LP Balance,LP Balance - withdrawn,is_contract,contract_type,events,withdrawn_eth,withdrawn_de,eth_to_redeem,de_to_redeem
0xBf592177E1918ABEC7c9D435157b76f52601DdB4,1995689497694090,1995689497694090,False,,[],0,0,1151889633310625.8,861310735404365.1
0x4e12d870e0e841577a1d6ea08898b44cB1D0681C,1993726669935285,1993726669935285,False,,[],0,0,1150756711105065.0,860463607320381.2
0x683f266a4749C357e187B7D53B9C64FaFD4FF9c5,1992492499026244,1992492499026244,False,,[],0,0,1150044361474774.0,859930956998520.5
0x9Bc54B27D43c0DE1683ce9f9266D6bC22F687c3B,1016255656457668,1016255656457668,False,,[],0,0,586571386390244.1,438601249259353.7
0xAD1b4891a9A73829d8eC8b188EAA7Dd33f5c9dE7,995090163622513,995090163622513,False,,[],0,0,574354900905455.4,429466528542475.1
0xAeB60De84095bdaE7F0B4bc8540cCFBb98Ff971b,938201049251970,938201049251970,False,,[],0,0,541519141050343.94,404914009229420.0
0x5463D5405E450469110C567ea72a492a809DFD10,402440217938305,402440217938305,False,,[],0,0,232283987867866.4,173687379960280.38
0x9A608d9F416518b5F11acf3dC5594C90D6998e2c,228987113310638,228987113310638,False,,[],0,0,132168797946283.14,98827527624711.0
0xBeC40c05A3ee6f6f5D56cDC16c66073362697969,224331211999203,224331211999203,False,,[],0,0,129481463839170.75,96818107929334.66
0x9f9A085D9Ad4c5D7163424C7BA97F46CD6A659Db,209362559236223,209362559236223,False,,[],0,0,120841725061056.44,90357853799525.56
0x69aBD9ff6d98Df3a03B582e31e03167EF2b17689,207507930506161,207507930506161,False,,[],0,0,119771254123434.69,89557422852107.4
0xd3326ae6821b19bE3457F6d9B695f15c9065575E,199713399825024,199713399825024,False,,[],0,0,115272338285826.98,86193416096117.0
0x305c98a4df9BB0C8eC342cc4A9F91DC6C8eA9567,199429547119501,199429547119501,False,,[],0,0,115108501682358.9,86070909372088.53
0x24523B1979Ba2603A66d613d00662b63aaAdBB54,199360910313738,199360910313738,False,,[],0,0,115068885286565.22,86041286719007.56
0xcA4d7fC782622d023bDFa10bD56E9b5dBCd5C73D,199161408123124,199161408123124,False,,[],0,0,114953734855871.19,85955184457753.45
0xc9E53AB81B610E5Dfd0807c6b242Df84a3601932,190694476732925,190694476732925,False,,[],0,0,110066716857534.48,82300979276668.48
0x882C8e57Cf50ea8563182D331a3ECf8C99e953Cf,99630199052746,99630199052746,False,,[],0,0,57505435382675.805,42998953551519.74
0x91A502BaE962c2C5DA1FeC8c4EC69f2A2A84a283,99623389129979,99623389129979,False,,[],0,0,57501504771502.07,42996014487304.96
0xC5063a157362676A666A06006ae836057724651b,99597605633513,99597605633513,False,,[],0,0,57486622826027.08,42984886702983.76
0x7786E6bf3C54a9c23C40d607a6025ce68477031A,93702904533174,93702904533174,False,,[],0,0,54084267350994.13,40440818928117.83
0x933Dab5a65e0A088a2e8f2e8636223AA06F2067e,85186273889922,85186273889922,False,,[],0,0,49168563500253.45,36765164267920.21
0x12e0b83Cb5043Da6f4f113fF49115C650673f80a,64404503316309,64404503316309,False,,[],0,0,37173558208476.33,27796052531627.88
0x0A9Cc33F4DE0A9A60B6758B21Ac192Ca06183Afc,64404503306463,64404503306463,False,,[],0,0,37173558202793.33,27796052527378.49
0xc5cE73df785944c8992aA3e40F886fC5CdA505eB,41493589155519,41493589155519,False,,[],0,0,23949635077159.164,17908033204263.977
0x32012d181452628a665fc274B0c6eF02805a3Fa2,20741796544202,20741796544202,False,,[],0,0,11971932729570.729,8951859523105.436
0x371465d17bAAa7F941E91a4eF4f8460Cb29D4F7C,20741796543788,20741796543788,False,,[],0,0,11971932729331.773,8951859522926.76
0x0B5cA551F84b4f4B147307E04edCd193507c5f51,19720550927128,19720550927128,False,,[],0,0,11382481193782.885,8511104678984.228
0x3DC30075346885f9d1BcA5636a39ec6F512687D0,19620954509123,19620954509123,False,,[],0,0,11324995256442.738,8468120304844.541
0xAD4f92443F6Cca9aB5C0CC28A3A81A589A790F17,19620804945712,19620804945712,False,,[],0,0,11324908930116.496,8468055755438.601
0x6F8B9c7a13135B172f35f972faF15879d6A06597,19620803746051,19620803746051,False,,[],0,0,11324908237685.6,8468055237682.256
0x41a43eb05C7d68D4E0EAB7a73158aFe5910326d1,19620682643361,19620682643361,False,,[],0,0,11324838338568.86,8468002971512.041
