User,LP Balance,LP Balance - withdrawn,is_contract,contract_type,events,withdrawn_eth,withdrawn_mseth,ftm_to_redeem,ftml_to_redeem
0x7e1E1c5ac70038a9718431C92A618F01f8DADa18,22763642804773678274,22763642804773678274,False,,[],0,0,1.5269315804748343e+19,7.639593007251832e+18
0x0B997e226B63FdED87673Bc8B43bA24477b8147A,20141531189701206016,20141531189701206016,False,,[],0,0,1.3510465050094778e+19,6.759599162218353e+18
0x44a03946C8e690c6Ecdb254B3744690A42E1ED17,19609532140435955943,19609532140435955943,False,,[],0,0,1.3153612609528742e+19,6.581057605777346e+18
0xc808E1bc3a9458F43e81BEEB465078a663d61Fca,19209674646037359611,19209674646037359611,False,,[],0,0,1.2885397613746645e+19,6.446863419710424e+18
0x6F770d926e3EAEffA3AF34D948aa453d66ecAa82,13199252136239362048,13199252136239362048,False,,[],0,0,8.853747661708742e+18,4.429735398054212e+18
0x1ae9c85D78b7CEf7482C1E456E7D37D4F2c567Da,12866359159491235840,12866359159491235840,False,,[],0,0,8.630450888220277e+18,4.318014840885967e+18
0x266557ABC87afD40582fc535fbb677Ae5B993Ea9,9991691647552136228,9991691647552136228,False,,"[AttributeDict({'args': AttributeDict({'provider': '0x266557ABC87afD40582fc535fbb677Ae5B993Ea9', 'token_amount': 9991691647552136228, 'coin_index': 5244862264972773506688, 'coin_amount': 353741857180472211}), 'event': 'RemoveLiquidityOne', 'logIndex': 24, 'transactionIndex': 8, 'transactionHash': HexBytes('0x72f5ce065c949873954d1812133be943899a1985fbbbe57fd77815ffb7443ca2'), 'address': '0x8B63F036F5a34226065bC0a7B0aE5bb5eBA1fF3D', 'blockHash': HexBytes('0x00037743000001cb86e9be3c219754853bc3c4e3c8f49de04cc0e791914e1ff0'), 'blockNumber': 66467648})]",0,0,6.70219158236597e+18,3.3532619667203896e+18
0x43C4fF14DAe2Fbb389Dd94498C3D610A0c69a89d,9917380745383882365,9917380745383882365,False,,[],0,0,6.65234557824993e+18,3.3283228542314117e+18
0x456Eb5DaAC06b24A361717ED6Dc759438464c18A,9857933861067169400,9857933861067169400,False,,[],0,0,6.61247000745377e+18,3.3083721808869135e+18
0x79785b784d43e2fCC6A675728B5052B8E4c4c7f0,9663503943197262149,9663503943197262149,False,,[],0,0,6.48205099485073e+18,3.243120522630881e+18
0x6ae535b4555BE36E97aD5bcd1B7887Da5A5D7e32,4933793775940234297,4933793775940234297,False,,[],0,0,3.3094727380160287e+18,1.6558060040368993e+18
0xd67d38c6BD7861d84207bF6D8EE129acA42B5Acc,4786986977715866204,4786986977715866204,False,,[],0,0,3.2109981931641057e+18,1.6065369042381312e+18
0x856b63349fB6c818ea7cD7305483Ae0EF6956f6c,4520008110538609860,4520008110538609860,False,,[],0,0,3.0319150529529697e+18,1.51693745373438e+18
0x587A419eF0580F5426C95Bf9A99cFD6d810c0b2D,4221421264048331097,4221421264048331097,False,,[],0,0,2.8316300241768253e+18,1.4167302064116383e+18
0xa2a2c322Fd220c6f0E922BD6F5c8bFBDfFF99902,3950928043197604240,3950928043197604240,False,,[],0,0,2.6501895382389965e+18,1.3259513211408287e+18
0xeE1f7fccE320dd35F9237d0D991366801CDC5CAa,2008555618558657125,2008555618558657125,False,,[],0,0,1.34729183348204e+18,6.740813669330308e+17
0x088b47F76F4696ED16f9674dde39E9E9b5D8451C,1955197893046943031,1955197893046943031,False,,[],0,0,1.3115007270915208e+18,6.56174245906836e+17
0xb8684CEA27edeC1eeDC2Fde124b9a36F4E7c9838,1262231720788597248,1262231720788597248,False,,[],0,0,8.466753291107813e+17,4.236113134601563e+17
0x872AF3cb1DaD88907f2944F166a98a9d4a86DD93,1179593267648090275,1179593267648090275,False,,[],0,0,7.912433998084253e+17,3.958774329843156e+17
0x658F475700d454eC73e17BFC4E65952Bd60d1Bd4,989005443728133395,989005443728133395,False,,[],0,0,6.634015733955053e+17,3.319152007803859e+17
0x43C4fF14DAe2Fbb389Dd94498C3D610A0c69a89d,988876804267587615,988876804267587615,False,,[],0,0,6.63315285073163e+17,3.3187202873047846e+17
0x0C26ba3f48f81Cd78931D5dD60F6bd80042DAa7b,988657420692104246,988657420692104246,False,,[],0,0,6.631681277343679e+17,3.317984024992315e+17
0xcE807D1ba929C9f83a3406817Cdd49D30fF4E01b,985642350426530158,985642350426530158,False,,[],0,0,6.6114568956604e+17,3.307865297548383e+17
0x183A48331B4ee0d2253D7d23a4b1cbc10075b5Ae,197791438756499199,197791438756499199,False,,[],0,0,1.3267384169352651e+17,6.637980157119467e+16
0x1758B24Ec004deb69839a7E316747FC603fB97f2,839688276005761,839688276005761,False,,[],0,0,563243131770979.6,281803608353040.8
0xd9D88ECE22E7933bcdd672F1A9a71Cdc272E3eAe,6523687492,6523687492,False,,[],0,0,4375936021.362334,2189382330.9741983
0xeb63ee9c8bE4C1D14C6D352Fad5ca8f933BE7af8,2883226186,2883226186,False,,[],0,0,1934000262.9685342,967625208.2233444
