User,LP Balance,LP Balance - withdrawn,is_contract,contract_type,events,withdrawn_eth,withdrawn_aleth,eth_to_redeem,aleth_to_redeem
0x794a15F93CEd01F1B0bE5b184344F0B811851BC0,5852778793765317283,5852778793765317283,False,,[],0,0,1991069974799254784,3875531257200711680
0x88263dDbBab4236D4a5169B200F1cf5dF08f8123,5621790860321742041,5621790860321742041,False,,[],0,0,1912489670464097792,3722578106630525952
0x10D7C5d789e04F0B62D93FA141Ab2F8c73547918,4992691222804034773,4992691222804034773,False,,[],0,0,1698474850571550976,3306007551855639040
0x7E847356f13e2c86aEB08522020789A8364D6086,4920924483035233164,4920924483035233164,False,,[],0,0,1674060362039179264,3258485809961402368
0xcf2647d1eFabc54dB8CF9263A6629519061e76B2,4796006081677038933,4796006081677038933,False,,[],0,0,1631564090266670848,3175768662069370880
0x084d0cd0605f47D92Dc2DFD22238e9c5605023E9,4495469861622848040,4495469861622848040,False,,[],0,0,1529323997966070784,2976762761490708480
0x268893Bf0047c3376dDA9D94Cd1d9C7c10eC2EE8,4174985488900252160,4174985488900252160,False,,[],0,0,1420297698766094592,2764547803827542016
0xD62C6F55c955A033d97D70d73C156a58367D61e0,3956999370297376398,3956999370297376398,False,,[],0,0,1346140511049456384,2620204057711382016
0xc0BCA9516a8cdF027D20dE68821E781B381C2CbA,3821474615297664425,3821474615297664425,True,,[],0,0,1300036039988735744,2530463706566494720
0x1928c92C7b9d9A9699776f9Fb57aD6C84b44bE33,3218053660835404890,3218053660835404890,False,,[],0,0,1094756909010069120,2130896790974272512
0x77fb352A851FAa6A1a3AEBAf70E10de6Af50962B,3100155670394877600,3100155670394877600,False,,[],0,0,1054648926609407744,2052828344649230080
0x94dA015A898C2cC4DB84F4C6897f5B35b092CD37,2997981254067531505,2997981254067531505,False,,[],0,0,1019889982232639360,1985171568591900160
0x0C19A07242755b3F107cfB4C74d236a18548541F,2997236905892184273,2997236905892184273,False,,[],0,0,1019636760753585792,1984678683977352448
0xAC87234B21240CdA556bc4EE81eFd9E370fA1696,2621914459952952908,2621914459952952908,False,,[],0,0,891954974150976640,1736151630073315840
0x2330eB2d92167c3b6B22690c03b508E0CA532980,2269622699669572864,2269622699669572864,False,,[],0,0,772108048274225152,1502874792396329472
0xD38beB126F7ABd25fDbA3B2Ef4eE07a113EE83FE,2230631653197278218,2230631653197278218,False,,[],0,0,758843596523598976,1477056112982832128
0xB9E8C62F360897EA8648FC6f4d98EdDC71D7A8F9,2005983216909612617,2005983216909612617,False,,[],0,0,682419939976993920,1328300783695220480
0x8a7F162dAaC546997cc36B6B7C528A21800507B9,2004121024442725703,2004121024442725703,False,,[],0,0,681786436535506304,1327067696751966720
0x035Fc3B0ec2487c1c9dEF561F578ec77a06B1b12,1998651777967671074,1998651777967671074,False,,[],0,0,679925841282383488,1323446128875526912
0x25Bb02dC1FFA8d7F7725484D824EaC95902a34Fe,1597325204920054416,1597325204920054416,False,,[],0,0,543397652221932544,1057699936682491136
0x93A62dA5a14C80f265DAbC077fCEE437B1a0Efde,1476995078189683968,1476995078189683968,True,,[],0,0,538589380131436928,1048340843825033856
0x19C29401044097D450D25038a45898A57a7CeA6E,982078559170821760,982078559170821760,False,,[],0,0,358117024379317888,697059239144865792
0x0F51bDF7Af73eBA84ba964299dF4c16043224F3E,899447411978492929,899447411978492929,False,,[],0,0,305985037023608704,595586589235907584
0x31896bA604b9110F747654fe5Eb0992882Cd73Ad,725777723149668425,725777723149668425,False,,[],0,0,246903955174393216,480587828612763776
0x1bc371d79c5D3DaD6a9C2CE7EF7251C3A956527b,501807685476753961,501807685476753961,False,,[],0,0,170711084577568896,332281714156081600
0x41267Fe98489fb8437dd2Eddf4484FbA140ffDfc,305468507123172356,305468507123172356,True,,[],0,0,103918018126295264,202271910345799136
0x5736d2bDc9483D5B4C654FDF7aecEeE6c5959C92,300006852097606394,300006852097606394,False,,[],0,0,102060005425439408,198655369295217088
0x55907Cf476998d2F58591C6D0a10eCbbE249A8EB,210322702821580838,210322702821580838,False,,[],0,0,71550153074769992,139269266378608480
0xde9E6fb9Dc88e8EB25cAeb85972FAF842e171431,145463144812290496,145463144812290496,False,,[],0,0,51231179138316216,99719265825306640
0xb96f5976bF96b8DBaC576825De2053Bb3bCF1023,129963354628960744,129963354628960744,False,,[],0,0,44212525766660200,86057761774926624
0x4216C2Fc321dcE8DE1eB46F4DA0bE3287117cF25,112262271222232050,112262271222232050,False,,[],0,0,38190754410787552,74336645285410336
0xEDe59767894B49f2a1C9fB6c309362C693F24EA1,89845803979381118,89845803979381118,False,,[],0,0,30564846027600984,59493145721027504
0x83fed4e58eF6bdfd71A570ea588b4170ac7a8566,73714903092639104,73714903092639104,False,,[],0,0,25077238592946492,48811756111707144
0x01AA31Ae8998f71a91d32105DBcDade03E1A7Bb1,60184269625730226,60184269625730226,False,,[],0,0,20474221977202440,39852184124023032
0xaBb8B277F49de499b902A1E09A2aCA727595b544,50032069193738611,50032069193738611,True,,[],0,0,17020522090267488,33129707247660884
