User,LP Balance,is_contract,contract_type,events,withdrawn_eth,withdrawn_mseth,eth_to_redeem,mseth_to_redeem
0xc22E2e7f7714Bb08ced43e0a41B2dB13F45e715b,99844996227601,False,,[],0,0,38302236645894.805,61634111429370.164
0xA44804c4d3d6D9Fa37102fD0aaE39d23de7a3839,99838958225339,False,,[],0,0,38299920365657.98,61630384182955.34
0x3018B55796b0B9F6B4fe6853561FD33B9261ff30,99838958180914,False,,[],0,0,38299920348615.8,61630384155531.88
0x7b6555058649A1a63a6EA4fC1EAfd28e78949a0b,99834294861886,False,,[],0,0,38298131420219.64,61627505498258.49
0xE5c6ac7A04e75d8556960D3a0831F251db498Be5,99834294817799,False,,[],0,0,38298131403307.12,61627505471043.67
0x5a7BA787E7CF00f9Ce55CCf2C54Bf1C0C29231bF,99834294773713,False,,[],0,0,38298131386394.98,61627505443829.48
0x46ED94C2240c9b5A486bdDB3e073eb30C9b7a8F2,99834294729626,False,,[],0,0,38298131369482.45,61627505416614.664
0x191D60bFe770f85Bdf18858263d63f0571Fe5217,99834294685538,False,,[],0,0,38298131352569.55,61627505389399.23
0x4d1f86cB18cC052aC63e5CC185fE1Ce73504F7a3,99834294641454,False,,[],0,0,38298131335658.18,61627505362186.266
0x1F17032289Dc9Bb26cde9e400Af1C26b5DA0ff5D,99834294597367,False,,[],0,0,38298131318745.66,61627505334971.45
0xBf970e507672b30aBCE90bde4520e3939d423ADB,99807977946337,False,,[],0,0,38288035804362.734,61611260120255.5
0x7230D59F056160b5bD420711F58765c2F34f51ba,89991293191592,False,,[],0,0,34522188773858.77,55551440751223.41
0xE8B65b125afd293cdB2b496C4035EBF63E4D56a9,89953533502621,False,,[],0,0,34507703515735.812,55528131772651.55
0x57fb3f4b027fbaDbd8d20Eb5E48feb1e2b02DF30,81239198767943,False,,[],0,0,31164736678836.793,50148790810530.305
0x0d8c44854055f4BecDFEe63D2F6286548AcE0c34,80005617948302,False,,[],0,0,30691514121263.45,49387303900144.01
0x1B21d9F9FfCF8c5455259F60FD76092a1A558403,79992260742472,False,,[],0,0,30686390070204.723,49379058524375.41
0x0A4c625D84aC9F3c784ed8C34535f87284F1FB4C,79983869999118,False,,[],0,0,30683171238518.383,49373878935709.02
0x3b7AAAC66801dFfC9Da1b806f5e7C8c124b4EEAa,79983869947152,False,,[],0,0,30683171218583.34,49373878903630.516
0x2E31bD290416f095Db77C56cb2a2CE7ea4511872,79983688509754,False,,[],0,0,30683101616115.344,49373766902696.79
0x60d620c18aaA9b12DBBFc6FF5597B9251B3f58c3,79983688277426,False,,[],0,0,30683101526990.375,49373766759281.19
0xEE66527ABd321220C483c4f38Aa5180638DF112E,79983687829641,False,,[],0,0,30683101355212.445,49373766482864.43
0x06b1891a5115897B510add1da19519Ae526CF2B2,79983687583036,False,,[],0,0,30683101260610.58,49373766330635.664
0x5a673293EC90e965BC57e5001A439Bd7275EB05E,79983673108961,False,,[],0,0,30683095708109.53,49373757395818.85
0xF337B14dA207429eeF360164C150Ed1773f2a386,79983673057049,False,,[],0,0,30683095688195.207,49373757363773.68
0x99ae96D1Ba5d95ABDfD9176949a210A622Dd2F46,79983562448975,False,,[],0,0,30683053257059.094,49373689085636.414
0x8597a0b35495b7750072aa05c1033f0D2c9bfc89,79964323967439,False,,[],0,0,30675673048732.78,49361813210434.625
0x5B191F5A2b4A867c4eD71858dacCc51FC59c69c0,79958696412251,False,,[],0,0,30673514222965.914,49358339332156.92
0x0f7Cb3fDB81E0b2a493fE09Da5fa50f206A106A8,79953212556674,False,,[],0,0,30671410522810.895,49354954159354.42
0x64b07802FB794c8e7519589E85ebF67Da10c9f0D,79953212456207,False,,[],0,0,30671410484270.047,49354954097336.35
0x8a1B73A88E1854Dd3EeBEe4354Bd4DbA23861E3A,79932043893884,False,,[],0,0,30663289864167.055,49341886787222.57
0x1aeeaa375b4112f537FaFDEA5AA3BAB0e1257557,79881281927357,False,,[],0,0,30643816711500.535,49310551529377.83
0xf9c12c37269EF3De90E5830EE10508eA20079b04,79877106900580,False,,[],0,0,30642215100306.61,49307974293909.69
0xcB87186061C7AFbDC45141F43f24c736F861641e,79875996951999,False,,[],0,0,30641789305175.953,49307289124926.695
0xd50eF0e3b8D6d920a6c898aA139D038e014bA4A9,79871166612323,False,,[],0,0,30639936304822.0,49304307366149.78
0x7102BDdb8c8f973Cad87Ac914592ecDE3425F5f1,79867435921314,False,,[],0,0,30638505148376.727,49302004418240.08
0xe15cf0EDe90e9059188fc8439014D1fFE29E0bbc,79858104992795,False,,[],0,0,30634925645689.92,49296244455199.28
0x9999990bc03C67E331C92fd9275F8dBf2354C723,79854841316576,False,,[],0,0,30633673644051.395,49294229794561.77
0xB83531c8A283B21f3c38295F8869F84B1543A36B,79849620832588,False,,[],0,0,30631670977711.875,49291007200501.09
0x8112f912532f5adbc14bA65385EFeF7a00A049e5,77984096247036,False,,[],0,0,29916024056541.527,48139422699280.43
0xc12892B7BA5d2aa9C980571bf3d5CD5a5D57417E,69993228075926,False,,[],0,0,26850591283142.363,43206676163310.78
0xFBD079d71e751A431c3015c950812d8cD150ac99,69896121708834,False,,[],0,0,26813339631154.695,43146732602030.99
0xDB2135dfDE06a81F47c27F70f004AaAa858cB7d6,66993518233265,False,,[],0,0,25699851630644.29,41354961428634.5
0x7E0E4552d4eD7F4b8Ba95D98F858A0E356220c0B,20989218159325,False,,[],0,0,8051820635239.208,12956601329307.092
0x5eC8Cd4881eba87279f5F243Eb89EA9383E677c6,19992031390028,False,,[],0,0,7669282851065.197,12341039981449.033
0x8B147C4dB4e2616C0bAcfb29F5C61589BC0dE4dC,19969687783673,False,,[],0,0,7660711464110.752,12327247319063.842
0x0eF696B2Da7e7c6A3113681ce57344B66BBCF559,10032776008861,False,,[],0,0,3848743306381.3447,6193212057081.651
0x0b0F9f02d9aEF778433dea88C4BEC341D6C86834,10030735193259,False,,[],0,0,3847960414848.551,6191952265795.429
0x486063E323251Ec48e8D11B756D0dFb7A7b5F308,10026964296263,False,,[],0,0,3846513834703.675,6189624498812.391
0x7E1DCf785f0353BF657c38Ab7865C1f184EFE208,10006409663412,False,,[],0,0,3838628728375.123,6176936166102.753
0x921f15Bb887c4636b05AA88a1faAd71EFe8C5942,10002843767514,False,,[],0,0,3837260790133.8467,6174734945877.136
0x7c4F8493de12573362545BE92a695E61f7d1a43c,9999196435313,False,,[],0,0,3835861611543.36,6172483455188.67
0x90457dF24e85E174E61eC62fBAb1A6eF34874d7C,9999032579901,False,,[],0,0,3835798753823.8623,6172382307578.844
0xAdee08871159D69C3c0a1358454F46EC53E9D74a,9998613317995,False,,[],0,0,3835637917834.6094,6172123498064.008
0xB350456Aa5835F06446875179510a85cd4A6f9a7,9998613317349,False,,[],0,0,3835637917586.7925,6172123497665.233
0xE8e0f659B54934273e1BeCA7f537Fda6D6330D7B,9998613316704,False,,[],0,0,3835637917339.3594,6172123497267.076
0xF4f2f6f40eC7Ef6Ff902208d73cbE0A15781Cc3a,9998613316057,False,,[],0,0,3835637917091.159,6172123496867.685
0x98780411E33E19F5a5c0D8cEA44d1A1E9a2f949F,9997983753602,False,,[],0,0,3835396406238.88,6171734869255.192
0xc550d4524Ea3d8F43Aff6C2dC6212d0D5C58fCE4,9997961031087,False,,[],0,0,3835387689496.1323,6171720842693.277
0xfdc79905818Aa8e0ff637c2627C98B1E8B5A54b5,9997959150440,False,,[],0,0,3835386968047.996,6171719681773.741
0x1dd57e5Db5a756003039FF41e79334DF22168d4A,9997576586508,False,,[],0,0,3835240210024.968,6171483525843.002
0xac236EA8ED1c73a83B5A10d17988028fec528F59,9995540498321,False,,[],0,0,3834459132008.8735,6170226652780.364
0x274dDBCc68Ea479d8b9D0BdF3159De04E42Aee05,9994159853223,False,,[],0,0,3833929493095.9023,6169374383392.518
0xB23E32E08eE52D5176e3fe36150f369e1BF5e8a4,9986053810237,False,,[],0,0,3830819877307.007,6164370539679.493
0xe4AF6475daa8B673939a285a122F2A801F863bFF,9984347182281,False,,[],0,0,3830165185832.1514,6163317041741.861
0xA5F42de0e6B576b932A20C5eBa5c790753040e1b,9981202602149,False,,[],0,0,3828958871475.7134,6161375898874.647
0x66833995eCfb462f5Fc0d25266160da7f53fdA99,9981202601717,False,,[],0,0,3828958871309.9907,6161375898607.975
0xaad244d484c5E39f512186c92C0a87752E91CD69,3001922898921,False,,[],0,0,1151588618473.1777,1853080849767.4912
0xEaEBB93045EAD42bfBb0Dc3E6e0CfCCd4c723DE0,2999369459790,False,,[],0,0,1150609075846.5898,1851504617028.0015
0x18A86bDC70D9E30903fc7A67e9481Eb5Ae343B50,1999203138934,False,,[],0,0,766928285080.1268,1234103998102.433
0xF447B405fC7b41DDfeF3CF66EC790EaBd6b26A47,999992022147,False,,[],0,0,383613926820.83295,617293024689.9192
0x6Ea2E492A7128508d609De8d9e562C611e587b33,999601569536,False,,[],0,0,383464142566.533,617051999093.8102
0x95F385EF30A849B2524BCb03a1a72f0cA137a355,9997959241,False,,[],0,0,3835387002.7883506,6171719737.676243
0x0663ab48fC093432f3916408f68C867f2eea9722,9981202603,False,,[],0,0,3828958871.802171,6161375899.399968
