User,LP Balance,is_contract,contract_type,events,withdrawn_eth,withdrawn_aleth,eth_to_redeem,crv_to_redeem
0x8F936650D9a89b8D65197181080a169f6Dfb55F6,474580133501106112,False,,[],0,0,11698444856225478,30850702547568988160
0xd9e7113a8f14f6ADD8ac3708e8a839698c5e38a8,327257457981937728,False,,[],0,0,8066927070349653,21273799259552837632
0xc2C171bD6FC3B5885b589ed8b4d135F31085e973,304324977114353088,True,,[],0,0,7501639263490246,19783043334511525888
0x4ec8F76D7fBb59015419C074F7f1e01087A76f01,303412002183010048,True,,[],0,0,7479134345699776,19723694204507992064
0x00158A74921620b39E5c3aFE4dca79feb2c2C143,213067001058507744,False,,[],0,0,5252121584138075,13850699193549932544
0x1Bc5e0d0617c39f617d90391F83d67c0d08Cb727,157127490324488576,False,,[],0,0,3873207391547602,10214278103648270336
0x8C01527C46f0adD00d4B52110b74e4A883590cA7,156310596343266368,False,,[],0,0,3853070878200087,10161174841525465088
0x2a8cE51e7C0A1eE60E20Bd859ecd07FD2530a3F3,11074234099809008,False,,[],0,0,272980910485679,719895077855290880
0x0d9686D3c602a458110F43147bcF33bFc3feF135,9919604470788646,False,,[],0,0,244519181704891,644836868033631616
0xd60b8d278a98e068eAF3508e95cf1b0089961288,5677812870453808,False,,[],0,0,139958620431414,369093654837368000
0x1778CB9fd8D489C740568A9bF16004D948d9b6bF,2502502151558587,False,,[],0,0,61686913033255,162678426787128544
0x3E379F4304319A302A49D5aEd685159C81AD8EBc,332227022994270,False,,[],0,0,8189427314570,21596852335658712
0x967e9AA3A4939Be26F9B19A92562C2fD4CF78e98,107827254027608,False,,[],0,0,2657951937293,7009451735760746
0x14FB5713df10Efa16b0341903Fd2826Ed39A87E5,107827254027608,False,,[],0,0,2657951937293,7009451735760746
0x9e20e39F91f8689a7459fB56D50cCA266918d991,107827254027608,False,,[],0,0,2657951937293,7009451735760746
0x4472D85886373dB0Eb89a5B24719c916d1B71186,1153441322789,False,,[],0,0,28432436920,74980962420237
0xe947388A4778CAD8c7a28130Dfb95A300AD91E99,1153289712050,False,,[],0,0,28428699701,74971106765772
0x7d6f82612903EE40812bCA7ab04852237D483942,461315855560,False,,[],0,0,11371479159,29988440804224
0x9179d5a13B1676B10CD7A1629AAa650CE0e30319,461288496233,False,,[],0,0,11370804749,29986662275374
0xe89D4C442e3Fc8924903bee6cf81D567D2D6dd07,1153035661,False,,[],0,0,28422437,74954591844
0x836A78114D99f4F45c72ECE5149940E445b30811,1152954936,False,,[],0,0,28420447,74949344210
0x7C55A970a50D58F2b0EfA03Aa1F6F582a7C6Cf0F,1,False,,[],0,0,0,65
